Member_number,itemDescription,year,month,day,day_of_week
4944,organic sausage,2014,1,20,0
4710,other vegetables,2014,2,17,0
2104,pastry,2014,2,7,4
1743,root vegetables,2014,1,12,6
2949,pork,2014,1,6,0
4416,other vegetables,2014,2,10,0
2000,dish cleaner,2014,4,7,0
4114,root vegetables,2014,3,27,3
1435,specialty chocolate,2014,6,2,0
3841,vinegar,2014,7,29,1
3323,berries,2014,6,3,1
1184,beef,2014,6,24,1
3378,canned fish,2014,3,13,3
1561,dishes,2014,10,17,4
2817,baking powder,2014,9,25,3
4272,napkins,2014,11,25,1
4376,fruit/vegetable juice,2014,5,25,6
3867,pastry,2014,7,24,3
1702,yogurt,2014,12,1,0
2381,pip fruit,2014,4,27,6
1948,whole milk,2014,9,23,1
2868,soda,2014,4,22,1
4531,beverages,2014,12,5,4
1370,fruit/vegetable juice,2014,9,9,1
1102,yogurt,2014,9,30,1
2473,whole milk,2014,9,11,3
2266,other vegetables,2014,8,30,5
1655,pip fruit,2014,4,11,4
2649,bottled water,2014,2,8,5
1740,root vegetables,2014,2,21,4
4617,yogurt,2014,11,18,1
2921,hard cheese,2014,4,3,3
2533,hamburger meat,2014,12,23,1
3168,brown bread,2014,3,26,2
2993,onions,2014,10,23,3
4292,frozen potato products,2014,6,4,2
1674,chicken,2014,6,30,0
2092,salty snack,2014,1,4,5
1062,ham,2014,7,11,4
1015,fruit/vegetable juice,2014,6,28,5
4149,tropical fruit,2014,11,2,6
3476,frozen meals,2014,5,2,4
4786,chocolate,2014,7,13,6
2054,white bread,2014,6,8,6
2518,oil,2014,6,12,3
4771,other vegetables,2014,12,26,4
4666,yogurt,2014,9,27,5
4513,dessert,2014,1,30,3
1225,butter milk,2014,11,29,5
3496,misc. beverages,2014,11,8,5
1720,herbs,2014,9,13,5
4091,packaged fruit/vegetables,2014,3,31,0
3477,tropical fruit,2014,7,17,3
3227,bottled beer,2014,8,20,2
2123,cream cheese ,2014,6,6,4
4837,whole milk,2014,12,17,2
4316,meat,2014,8,31,6
3263,chocolate,2014,6,30,0
3421,pet care,2014,6,13,4
4819,meat spreads,2014,4,23,2
1294,waffles,2014,7,10,3
1309,pastry,2014,6,5,3
2589,whole milk,2014,7,6,6
1234,yogurt,2014,4,14,0
2685,butter,2014,12,4,3
1395,sausage,2014,11,24,0
2480,other vegetables,2014,1,3,4
4303,sugar,2014,1,17,4
3915,other vegetables,2014,9,24,2
3646,rolls/buns,2014,12,5,4
2443,pip fruit,2014,5,22,3
4616,root vegetables,2014,10,16,3
2325,onions,2014,6,5,3
1660,misc. beverages,2014,6,15,6
3982,jam,2014,11,22,5
3181,domestic eggs,2014,7,10,3
3251,soda,2014,10,20,0
4846,whole milk,2014,10,28,1
4511,pork,2014,8,18,0
1689,beef,2014,9,19,4
3789,pot plants,2014,10,3,4
2737,other vegetables,2014,12,26,4
1374,sugar,2014,1,9,3
3948,waffles,2014,2,20,3
4544,bottled water,2014,5,15,3
2758,whole milk,2014,6,30,0
1659,dishes,2014,5,7,2
4988,misc. beverages,2014,12,13,5
4073,detergent,2014,4,26,5
1212,beef,2014,5,25,6
3657,butter,2014,5,29,3
1187,soda,2014,8,6,2
4251,ham,2014,2,7,4
1100,hamburger meat,2014,2,20,3
1410,yogurt,2014,5,23,4
3871,whole milk,2014,8,16,5
1756,UHT-milk,2014,9,22,0
4780,shopping bags,2014,8,16,5
4435,root vegetables,2014,1,27,0
3212,coffee,2014,9,4,3
2871,whole milk,2014,3,5,2
2645,soda,2014,10,23,3
3469,whole milk,2014,11,4,1
2349,female sanitary products,2014,12,10,2
3247,pip fruit,2014,3,9,6
1202,coffee,2014,4,21,0
1512,bottled beer,2014,4,29,1
3294,root vegetables,2014,1,3,4
3142,tropical fruit,2014,12,2,1
4632,root vegetables,2014,9,18,3
3411,whole milk,2014,11,30,6
1200,brown bread,2014,2,27,3
1107,shopping bags,2014,9,26,4
4070,specialty chocolate,2014,8,3,6
3901,curd,2014,11,30,6
3615,sugar,2014,6,13,4
3857,soda,2014,12,30,1
3142,pasta,2014,1,9,3
2011,liquor,2014,5,18,6
3414,bottled water,2014,2,4,1
3013,whole milk,2014,3,25,1
3053,rolls/buns,2014,12,13,5
2270,tropical fruit,2014,12,18,3
3844,beverages,2014,9,25,3
1578,frozen vegetables,2014,11,29,5
1364,other vegetables,2014,11,8,5
4902,salty snack,2014,11,21,4
2696,whole milk,2014,12,23,1
1449,whole milk,2014,7,18,4
3277,fruit/vegetable juice,2014,8,30,5
1719,whole milk,2014,11,14,4
3111,soda,2014,10,30,3
4135,other vegetables,2014,2,22,5
2261,tropical fruit,2014,1,21,1
3835,fruit/vegetable juice,2014,10,15,2
4379,rolls/buns,2014,8,26,1
4284,soda,2014,6,10,1
2815,dessert,2014,9,23,1
4394,other vegetables,2014,2,14,4
1400,rolls/buns,2014,11,10,0
2964,oil,2014,3,10,0
2457,other vegetables,2014,9,7,6
3725,coffee,2014,8,3,6
2041,root vegetables,2014,6,19,3
1259,hamburger meat,2014,10,6,0
1235,condensed milk,2014,4,10,3
4820,other vegetables,2014,2,7,4
4690,salty snack,2014,12,20,5
4308,soda,2014,11,29,5
2944,beverages,2014,7,31,3
4809,brown bread,2014,6,21,5
2803,shopping bags,2014,4,3,3
2925,citrus fruit,2014,11,24,0
4329,dishes,2014,6,4,2
2811,butter milk,2014,6,20,4
1527,other vegetables,2014,1,29,2
2909,whole milk,2014,6,9,0
2045,yogurt,2014,11,4,1
2170,fish,2014,2,24,0
3962,rolls/buns,2014,11,15,5
3065,whole milk,2014,3,14,4
1425,citrus fruit,2014,6,2,0
2692,butter,2014,4,10,3
4893,curd,2014,6,27,4
1528,frozen vegetables,2014,1,2,3
2587,flower (seeds),2014,10,29,2
4065,brown bread,2014,1,13,0
1616,whole milk,2014,7,11,4
1476,yogurt,2014,1,16,3
3133,butter milk,2014,12,7,6
4770,butter,2014,2,22,5
4725,brown bread,2014,12,19,4
3293,rolls/buns,2014,10,17,4
3244,canned fish,2014,6,21,5
4941,coffee,2014,9,9,1
4840,onions,2014,8,27,2
3439,frozen vegetables,2014,5,14,2
4609,beef,2014,1,5,6
3818,root vegetables,2014,11,3,0
1001,whole milk,2014,12,12,4
4523,ham,2014,11,7,4
2349,yogurt,2014,5,28,2
2026,other vegetables,2014,7,1,1
3587,other vegetables,2014,3,8,5
3959,hamburger meat,2014,5,7,2
2901,whipped/sour cream,2014,9,8,0
2689,long life bakery product,2014,4,19,5
1844,pip fruit,2014,4,27,6
3629,red/blush wine,2014,5,7,2
4991,whole milk,2014,8,28,3
1003,root vegetables,2014,10,15,2
4455,root vegetables,2014,6,18,2
2662,tropical fruit,2014,5,12,0
2948,yogurt,2014,7,20,6
4281,frozen dessert,2014,8,14,3
1880,other vegetables,2014,9,17,2
4858,other vegetables,2014,8,17,6
2907,margarine,2014,3,25,1
2339,bottled water,2014,1,28,1
3479,herbs,2014,6,6,4
2562,yogurt,2014,11,14,4
3204,tropical fruit,2014,5,29,3
3200,yogurt,2014,10,27,0
4950,cream,2014,4,20,6
1279,oil,2014,2,13,3
2245,fish,2014,2,19,2
1856,chocolate,2014,4,26,5
1966,other vegetables,2014,10,23,3
1714,mustard,2014,1,22,2
2133,sausage,2014,4,12,5
1147,frozen meals,2014,4,3,3
4991,processed cheese,2014,1,20,0
2850,organic sausage,2014,1,18,5
4159,canned fish,2014,11,7,4
1902,shopping bags,2014,12,14,6
4675,coffee,2014,9,7,6
4544,canned beer,2014,10,29,2
4715,soda,2014,10,12,6
2020,beef,2014,1,2,3
3814,bottled water,2014,5,1,3
3351,citrus fruit,2014,6,13,4
1721,bottled water,2014,7,3,3
4365,other vegetables,2014,1,23,3
3724,sweet spreads,2014,5,7,2
3160,chocolate,2014,11,13,3
3786,berries,2014,2,4,1
1204,softener,2014,12,1,0
1240,onions,2014,7,15,1
2504,condensed milk,2014,10,2,3
4897,dishes,2014,6,13,4
3491,rolls/buns,2014,11,12,2
3046,citrus fruit,2014,8,22,4
4820,onions,2014,4,23,2
4898,tropical fruit,2014,3,4,1
2919,rolls/buns,2014,1,14,1
1354,bottled beer,2014,4,5,5
4424,margarine,2014,8,31,6
1320,soft cheese,2014,7,19,5
4422,pip fruit,2014,10,19,6
3533,hamburger meat,2014,8,22,4
3721,tropical fruit,2014,10,12,6
3107,rolls/buns,2014,2,1,5
4908,coffee,2014,11,13,3
1684,canned beer,2014,2,26,2
3452,canned beer,2014,12,23,1
4052,UHT-milk,2014,5,17,5
1520,other vegetables,2014,4,30,2
2063,onions,2014,5,26,0
2353,other vegetables,2014,11,14,4
3450,beverages,2014,5,20,1
4056,soda,2014,3,10,0
4865,chocolate,2014,5,20,1
1395,long life bakery product,2014,5,20,1
2325,fruit/vegetable juice,2014,2,27,3
4887,long life bakery product,2014,2,1,5
3356,UHT-milk,2014,9,30,1
3827,pork,2014,11,9,6
1546,white bread,2014,2,4,1
1327,pip fruit,2014,4,12,5
2682,other vegetables,2014,2,20,3
4937,rolls/buns,2014,6,22,6
3817,newspapers,2014,11,24,0
4314,margarine,2014,1,27,0
4146,dessert,2014,3,1,5
4749,root vegetables,2014,11,9,6
3222,rolls/buns,2014,1,16,3
1937,other vegetables,2014,7,3,3
1440,other vegetables,2014,1,1,2
1682,citrus fruit,2014,5,7,2
1421,pip fruit,2014,8,30,5
2774,other vegetables,2014,3,26,2
2009,rolls/buns,2014,11,12,2
1366,canned beer,2014,2,19,2
1432,frozen vegetables,2014,12,3,2
2758,pip fruit,2014,10,24,4
1209,yogurt,2014,5,3,5
3695,citrus fruit,2014,12,10,2
1353,rolls/buns,2014,12,9,1
4351,waffles,2014,11,26,2
4277,yogurt,2014,3,8,5
4532,pip fruit,2014,11,13,3
4281,yogurt,2014,9,3,2
2025,coffee,2014,11,13,3
1708,other vegetables,2014,9,7,6
3153,onions,2014,6,21,5
4584,other vegetables,2014,4,22,1
3948,soda,2014,10,4,5
4082,berries,2014,3,8,5
1169,other vegetables,2014,1,15,2
1220,sausage,2014,11,16,6
1438,butter,2014,5,18,6
2071,pip fruit,2014,7,31,3
4802,tropical fruit,2014,10,8,2
2868,citrus fruit,2014,6,15,6
2390,rolls/buns,2014,11,28,4
3649,rolls/buns,2014,9,23,1
1834,berries,2014,12,21,6
1578,whole milk,2014,3,26,2
4060,tropical fruit,2014,11,10,0
3717,pip fruit,2014,1,27,0
1501,whole milk,2014,3,11,1
4654,rolls/buns,2014,6,5,3
1022,beef,2014,2,22,5
4822,rolls/buns,2014,2,7,4
4473,bottled beer,2014,3,6,3
1099,root vegetables,2014,8,29,4
2020,hamburger meat,2014,11,4,1
4227,citrus fruit,2014,7,25,4
1113,curd,2014,2,2,6
4542,other vegetables,2014,5,12,0
1607,other vegetables,2014,5,10,5
4825,soda,2014,4,23,2
4467,white bread,2014,11,1,5
3146,root vegetables,2014,7,2,2
3508,root vegetables,2014,10,3,4
4712,pork,2014,3,11,1
3535,whole milk,2014,2,16,6
4404,candy,2014,10,10,4
2934,tropical fruit,2014,10,30,3
4080,citrus fruit,2014,4,23,2
1266,other vegetables,2014,8,27,2
4244,oil,2014,5,12,0
2545,herbs,2014,4,13,6
3427,meat,2014,5,6,1
2174,rolls/buns,2014,9,18,3
3849,pork,2014,9,10,2
4015,whole milk,2014,10,11,5
3123,whole milk,2014,12,15,0
3366,white wine,2014,12,19,4
4916,liquor,2014,7,11,4
4698,cleaner,2014,7,24,3
1137,nut snack,2014,5,16,4
1781,specialty bar,2014,3,15,5
1519,butter,2014,10,28,1
4262,domestic eggs,2014,8,17,6
4625,white bread,2014,3,1,5
4823,whole milk,2014,2,22,5
2669,white bread,2014,3,20,3
1417,whipped/sour cream,2014,10,14,1
2311,soda,2014,10,26,6
4387,frozen dessert,2014,10,22,2
4833,domestic eggs,2014,8,17,6
1002,butter,2014,4,26,5
1019,hamburger meat,2014,10,12,6
1548,long life bakery product,2014,1,10,4
2350,other vegetables,2014,3,4,1
4599,pastry,2014,4,23,2
2983,tropical fruit,2014,2,28,4
1994,soda,2014,7,21,0
2611,roll products ,2014,2,16,6
2649,baking powder,2014,3,9,6
4941,whole milk,2014,12,6,5
1836,whole milk,2014,4,13,6
1878,rolls/buns,2014,9,6,5
3184,sliced cheese,2014,10,9,3
1924,other vegetables,2014,5,20,1
3266,UHT-milk,2014,10,30,3
4807,curd,2014,5,21,2
1746,root vegetables,2014,3,21,4
3267,other vegetables,2014,3,27,3
3216,other vegetables,2014,2,11,1
3629,citrus fruit,2014,5,11,6
1142,newspapers,2014,5,22,3
1178,tropical fruit,2014,6,15,6
2391,whole milk,2014,1,11,5
1753,hygiene articles,2014,7,30,2
4607,pastry,2014,9,6,5
2762,pastry,2014,10,27,0
1959,pip fruit,2014,3,23,6
2776,specialty cheese,2014,5,14,2
4554,white bread,2014,7,18,4
4367,rolls/buns,2014,8,22,4
3265,whole milk,2014,9,7,6
4665,soda,2014,12,1,0
4224,grapes,2014,6,10,1
1759,bottled water,2014,7,28,0
4712,whole milk,2014,9,21,6
1364,citrus fruit,2014,7,1,1
4465,specialty chocolate,2014,4,1,1
4635,baking powder,2014,2,2,6
1852,tropical fruit,2014,4,1,1
4551,mayonnaise,2014,7,1,1
1134,cream cheese ,2014,2,18,1
3151,meat,2014,8,20,2
2593,UHT-milk,2014,4,16,2
2318,frozen fish,2014,10,12,6
1483,meat,2014,1,13,0
1892,citrus fruit,2014,5,8,3
4184,pip fruit,2014,9,17,2
2741,UHT-milk,2014,10,8,2
2461,bottled water,2014,1,24,4
3608,house keeping products,2014,1,24,4
3038,rolls/buns,2014,12,30,1
1772,sugar,2014,4,2,2
3548,dessert,2014,10,20,0
3010,root vegetables,2014,11,5,2
4010,yogurt,2014,11,8,5
4466,whole milk,2014,7,14,0
4191,citrus fruit,2014,5,8,3
1578,napkins,2014,8,24,6
2837,dessert,2014,10,13,0
4860,citrus fruit,2014,6,25,2
2047,sausage,2014,12,5,4
4649,canned beer,2014,5,9,4
3247,rice,2014,9,3,2
4192,butter,2014,2,22,5
3491,root vegetables,2014,6,26,3
1025,coffee,2014,6,2,0
3556,butter milk,2014,12,17,2
3698,root vegetables,2014,11,7,4
1534,other vegetables,2014,2,7,4
1327,grapes,2014,12,14,6
1716,brown bread,2014,8,16,5
4500,rolls/buns,2014,11,15,5
1097,shopping bags,2014,3,5,2
3614,other vegetables,2014,4,13,6
1717,pip fruit,2014,7,26,5
1981,whole milk,2014,1,11,5
2320,yogurt,2014,3,25,1
3088,newspapers,2014,11,3,0
4920,whole milk,2014,9,10,2
4338,pip fruit,2014,10,25,5
2093,napkins,2014,1,6,0
4212,organic sausage,2014,12,5,4
3817,red/blush wine,2014,12,3,2
2552,butter,2014,8,10,6
2524,white wine,2014,3,8,5
2454,red/blush wine,2014,12,7,6
1498,citrus fruit,2014,10,29,2
2222,pork,2014,3,4,1
3905,fruit/vegetable juice,2014,1,25,5
3485,rolls/buns,2014,10,11,5
4403,tropical fruit,2014,6,24,1
2661,whole milk,2014,12,14,6
2415,pastry,2014,9,14,6
4165,beef,2014,9,16,1
1838,other vegetables,2014,6,14,5
4129,meat spreads,2014,2,28,4
3468,whipped/sour cream,2014,2,6,3
3515,sliced cheese,2014,4,13,6
4683,chicken,2014,9,5,4
4415,bottled water,2014,8,22,4
3778,pip fruit,2014,4,27,6
2406,root vegetables,2014,10,27,0
2726,pastry,2014,11,27,3
3370,other vegetables,2014,12,14,6
4485,dessert,2014,1,27,0
3266,brown bread,2014,6,9,0
3115,zwieback,2014,9,7,6
2479,frozen meals,2014,5,3,5
1628,hamburger meat,2014,11,13,3
1023,domestic eggs,2014,6,13,4
1089,yogurt,2014,5,12,0
1386,pork,2014,12,21,6
3221,soda,2014,9,9,1
2623,whole milk,2014,11,22,5
2142,bottled water,2014,5,23,4
4164,curd,2014,3,3,0
1277,butter,2014,1,25,5
2927,packaged fruit/vegetables,2014,1,9,3
4455,margarine,2014,9,10,2
4042,tropical fruit,2014,7,15,1
1239,meat,2014,4,18,4
1542,yogurt,2014,9,13,5
4208,pork,2014,3,2,6
4106,tropical fruit,2014,7,25,4
1853,citrus fruit,2014,3,25,1
2701,whole milk,2014,8,16,5
3539,liquor (appetizer),2014,3,19,2
1428,berries,2014,10,18,5
2424,curd,2014,3,23,6
1528,whole milk,2014,12,6,5
3150,hamburger meat,2014,11,8,5
3635,beef,2014,12,23,1
4078,pip fruit,2014,9,27,5
3606,other vegetables,2014,11,11,1
4066,hamburger meat,2014,1,24,4
4508,rolls/buns,2014,11,22,5
2284,bottled water,2014,3,24,0
3450,pastry,2014,11,26,2
4097,butter,2014,5,18,6
4096,ham,2014,4,20,6
2637,whole milk,2014,9,18,3
3007,canned beer,2014,2,12,2
1859,tropical fruit,2014,5,11,6
1479,pip fruit,2014,3,29,5
1719,soda,2014,4,25,4
1618,bottled beer,2014,7,13,6
3976,other vegetables,2014,5,10,5
2482,pip fruit,2014,1,21,1
4899,root vegetables,2014,8,27,2
2364,pip fruit,2014,7,23,2
2478,napkins,2014,2,25,1
3680,curd,2014,10,25,5
2552,female sanitary products,2014,6,20,4
3676,whipped/sour cream,2014,9,6,5
1855,other vegetables,2014,7,16,2
3582,berries,2014,11,29,5
2688,whole milk,2014,12,21,6
3782,whole milk,2014,5,14,2
1427,brown bread,2014,12,6,5
4310,specialty chocolate,2014,7,7,0
2803,coffee,2014,10,26,6
4601,pot plants,2014,5,1,3
2027,frozen meals,2014,2,26,2
1398,specialty chocolate,2014,8,23,5
1896,sugar,2014,7,25,4
3731,roll products ,2014,8,18,0
2764,whipped/sour cream,2014,4,18,4
3909,tropical fruit,2014,9,16,1
2857,pip fruit,2014,12,12,4
2192,margarine,2014,11,21,4
1507,bottled water,2014,6,6,4
4617,newspapers,2014,3,11,1
3920,soda,2014,2,17,0
1843,soda,2014,9,24,2
2946,rolls/buns,2014,9,20,5
1087,soda,2014,12,16,1
2014,pip fruit,2014,12,19,4
1473,soda,2014,2,27,3
3095,root vegetables,2014,8,17,6
4461,cake bar,2014,5,13,1
3879,soda,2014,3,12,2
3083,tropical fruit,2014,9,6,5
1114,chocolate,2014,4,25,4
2390,other vegetables,2014,8,26,1
1625,pot plants,2014,10,1,2
4842,domestic eggs,2014,10,19,6
4798,pip fruit,2014,5,19,0
3127,pork,2014,3,24,0
4051,bottled water,2014,12,18,3
1004,root vegetables,2014,8,19,1
3782,shopping bags,2014,9,21,6
2974,berries,2014,1,1,2
1938,soda,2014,9,25,3
4973,yogurt,2014,5,28,2
3065,dessert,2014,12,28,6
2704,vinegar,2014,2,8,5
3083,domestic eggs,2014,9,19,4
4442,pastry,2014,8,4,0
2147,canned vegetables,2014,9,15,0
4594,whole milk,2014,12,24,2
1108,salty snack,2014,8,22,4
4277,brown bread,2014,4,9,2
2058,frozen vegetables,2014,8,5,1
1041,tropical fruit,2014,6,29,6
4494,berries,2014,11,6,3
3246,pot plants,2014,1,14,1
2264,other vegetables,2014,10,17,4
4931,yogurt,2014,8,28,3
3457,chicken,2014,3,17,0
4444,frozen meals,2014,8,12,1
1724,chicken,2014,4,4,4
1966,vinegar,2014,2,14,4
4126,berries,2014,6,11,2
3430,other vegetables,2014,12,1,0
2054,yogurt,2014,11,21,4
3667,soda,2014,11,5,2
3329,white bread,2014,8,9,5
3841,margarine,2014,9,27,5
2687,curd,2014,12,16,1
1328,tropical fruit,2014,8,14,3
4211,bottled beer,2014,3,4,1
2604,grapes,2014,9,17,2
1937,sugar,2014,7,26,5
3856,onions,2014,3,3,0
3484,beef,2014,12,25,3
1549,domestic eggs,2014,2,3,0
1702,pastry,2014,5,5,0
3694,whole milk,2014,1,8,2
4608,cream cheese ,2014,7,20,6
2376,specialty chocolate,2014,6,15,6
3282,ice cream,2014,10,7,1
2349,liquor,2014,3,14,4
2936,onions,2014,7,3,3
2311,citrus fruit,2014,3,13,3
1661,dessert,2014,7,21,0
2652,ham,2014,4,9,2
2049,other vegetables,2014,2,4,1
4855,cat food,2014,6,16,0
2715,pip fruit,2014,5,23,4
4132,yogurt,2014,2,3,0
1887,yogurt,2014,3,2,6
1832,whole milk,2014,8,21,3
1176,frozen potato products,2014,11,21,4
3382,dessert,2014,11,13,3
1444,whole milk,2014,7,3,3
1702,pork,2014,5,13,1
3447,margarine,2014,6,30,0
4759,chewing gum,2014,1,24,4
2536,specialty bar,2014,9,2,1
3666,canned beer,2014,12,4,3
3767,onions,2014,6,7,5
3271,specialty fat,2014,2,25,1
3654,tropical fruit,2014,6,17,1
4871,chocolate,2014,7,7,0
1217,citrus fruit,2014,3,12,2
1616,margarine,2014,3,5,2
1329,dessert,2014,2,22,5
4603,whole milk,2014,11,17,0
4431,brown bread,2014,10,5,6
3913,canned beer,2014,11,4,1
2325,pastry,2014,6,11,2
4117,yogurt,2014,3,8,5
2174,brown bread,2014,5,1,3
4541,root vegetables,2014,3,4,1
3670,chocolate,2014,6,5,3
3719,whole milk,2014,10,26,6
3499,canned beer,2014,7,13,6
1749,ham,2014,9,12,4
1572,chicken,2014,5,17,5
2271,root vegetables,2014,3,2,6
3834,rolls/buns,2014,5,18,6
1146,yogurt,2014,5,23,4
4298,whole milk,2014,3,22,5
4164,soda,2014,9,25,3
3998,ice cream,2014,8,1,4
3786,mayonnaise,2014,10,21,1
3285,tropical fruit,2014,10,21,1
3159,pip fruit,2014,4,18,4
3820,butter milk,2014,7,26,5
1808,sugar,2014,12,15,0
4860,rolls/buns,2014,2,22,5
1928,bottled beer,2014,5,23,4
1438,whole milk,2014,1,19,6
4290,soda,2014,3,26,2
1818,other vegetables,2014,8,12,1
1176,hard cheese,2014,4,8,1
4879,butter milk,2014,9,19,4
1574,soda,2014,6,17,1
1045,fruit/vegetable juice,2014,10,4,5
1168,sweet spreads,2014,10,31,4
4648,onions,2014,3,10,0
1931,pip fruit,2014,4,3,3
2868,pastry,2014,4,3,3
3082,canned beer,2014,7,22,1
2935,whole milk,2014,4,21,0
2639,bottled beer,2014,8,6,2
2789,white bread,2014,12,7,6
4153,whole milk,2014,2,14,4
3761,tropical fruit,2014,12,2,1
4444,other vegetables,2014,4,25,4
2824,pip fruit,2014,5,9,4
1146,bottled water,2014,12,7,6
4796,rolls/buns,2014,2,3,0
4586,whole milk,2014,9,26,4
1987,rolls/buns,2014,10,29,2
4376,other vegetables,2014,7,12,5
2511,whole milk,2014,6,18,2
3364,beef,2014,6,5,3
4471,whole milk,2014,8,10,6
2022,cat food,2014,2,23,6
1097,sausage,2014,4,16,2
1510,beef,2014,3,12,2
1521,ham,2014,12,26,4
2601,soda,2014,2,28,4
1314,canned beer,2014,5,9,4
3657,whole milk,2014,11,28,4
4693,onions,2014,8,6,2
3095,onions,2014,7,22,1
1274,tidbits,2014,4,25,4
2164,whole milk,2014,11,19,2
2447,whole milk,2014,4,14,0
3778,bottled beer,2014,11,22,5
4219,citrus fruit,2014,9,21,6
4382,fruit/vegetable juice,2014,1,3,4
2612,white bread,2014,7,30,2
3899,soda,2014,1,27,0
4318,domestic eggs,2014,9,8,0
1305,spread cheese,2014,7,26,5
4991,other vegetables,2014,12,22,0
2998,grapes,2014,10,30,3
3327,semi-finished bread,2014,7,16,2
4115,other vegetables,2014,8,2,5
1201,misc. beverages,2014,11,24,0
1595,beef,2014,6,27,4
2017,tropical fruit,2014,12,11,3
3142,other vegetables,2014,11,5,2
4862,beef,2014,12,10,2
4245,rolls/buns,2014,9,13,5
2570,frozen potato products,2014,6,19,3
2839,beef,2014,6,29,6
3626,bottled beer,2014,11,6,3
2119,onions,2014,6,7,5
3409,soda,2014,8,9,5
1842,vinegar,2014,5,30,4
1568,nuts/prunes,2014,9,3,2
3050,dessert,2014,3,5,2
2577,sausage,2014,6,28,5
1898,rum,2014,11,11,1
1946,meat,2014,8,11,0
4075,cream cheese ,2014,2,12,2
2401,hamburger meat,2014,6,25,2
2014,yogurt,2014,8,10,6
2081,hamburger meat,2014,5,18,6
2838,pastry,2014,4,19,5
4319,pip fruit,2014,9,29,0
2122,rolls/buns,2014,9,16,1
3099,pork,2014,9,20,5
2077,male cosmetics,2014,4,28,0
4881,citrus fruit,2014,12,30,1
1373,tea,2014,4,28,0
2514,newspapers,2014,6,24,1
4772,tropical fruit,2014,12,19,4
4592,herbs,2014,6,20,4
1468,zwieback,2014,12,4,3
3879,tropical fruit,2014,10,14,1
3805,beverages,2014,7,20,6
1392,napkins,2014,8,15,4
4961,whole milk,2014,2,11,1
4541,rolls/buns,2014,7,10,3
4206,whipped/sour cream,2014,7,4,4
2187,beverages,2014,8,22,4
1087,other vegetables,2014,7,25,4
3251,beef,2014,5,11,6
3582,fruit/vegetable juice,2014,8,4,0
3924,hamburger meat,2014,12,1,0
3193,whole milk,2014,5,29,3
1371,root vegetables,2014,8,17,6
3111,citrus fruit,2014,2,19,2
1585,soda,2014,4,20,6
4817,instant coffee,2014,6,13,4
4207,whole milk,2014,10,21,1
1158,whole milk,2014,2,19,2
4637,pastry,2014,7,4,4
1231,hard cheese,2014,11,23,6
2217,whipped/sour cream,2014,4,24,3
4933,whole milk,2014,1,8,2
3153,whipped/sour cream,2014,10,26,6
3827,root vegetables,2014,2,28,4
1427,onions,2014,6,26,3
1151,curd,2014,12,12,4
3206,soda,2014,5,11,6
1979,brown bread,2014,12,4,3
2346,liver loaf,2014,12,23,1
1443,hamburger meat,2014,1,13,0
4791,sausage,2014,2,27,3
3321,white bread,2014,11,3,0
4335,rolls/buns,2014,7,17,3
1517,sausage,2014,3,9,6
4140,curd,2014,2,1,5
3140,chicken,2014,12,15,0
4245,bottled water,2014,11,21,4
3481,yogurt,2014,5,30,4
3107,bottled water,2014,4,23,2
3015,root vegetables,2014,7,8,1
4248,rolls/buns,2014,9,10,2
4510,other vegetables,2014,4,12,5
3306,canned beer,2014,5,6,1
1601,butter,2014,9,8,0
2787,chocolate,2014,4,28,0
3931,ham,2014,7,19,5
1590,fruit/vegetable juice,2014,6,21,5
3188,whole milk,2014,10,16,3
4021,yogurt,2014,9,9,1
3785,cat food,2014,7,16,2
1682,yogurt,2014,10,9,3
1480,beef,2014,5,25,6
4165,pip fruit,2014,6,10,1
4786,pastry,2014,4,5,5
4748,other vegetables,2014,4,19,5
4342,ham,2014,1,9,3
2483,herbs,2014,2,21,4
4243,napkins,2014,3,30,6
3075,organic products,2014,12,4,3
1983,pip fruit,2014,6,26,3
4567,specialty chocolate,2014,3,16,6
3459,pastry,2014,6,21,5
2369,tropical fruit,2014,7,23,2
1998,ice cream,2014,10,13,0
4685,soft cheese,2014,1,20,0
2036,whipped/sour cream,2014,7,20,6
1094,chocolate marshmallow,2014,8,26,1
3953,soda,2014,5,19,0
2303,decalcifier,2014,1,31,4
2930,soda,2014,4,25,4
2187,specialty bar,2014,12,26,4
3595,other vegetables,2014,1,17,4
3956,butter milk,2014,12,19,4
1595,other vegetables,2014,1,26,6
2597,pip fruit,2014,10,25,5
1717,rolls/buns,2014,6,4,2
3544,frozen dessert,2014,12,3,2
2226,sliced cheese,2014,6,9,0
3696,waffles,2014,2,11,1
4804,tropical fruit,2014,10,8,2
1333,citrus fruit,2014,10,10,4
4892,other vegetables,2014,12,27,5
2109,bottled beer,2014,6,22,6
1737,yogurt,2014,4,9,2
1778,bottled water,2014,11,27,3
2921,yogurt,2014,11,27,3
1129,whole milk,2014,1,25,5
4739,flour,2014,4,2,2
4024,other vegetables,2014,10,15,2
4140,hygiene articles,2014,2,20,3
2201,whole milk,2014,5,30,4
1815,yogurt,2014,10,24,4
3659,citrus fruit,2014,4,13,6
1569,rolls/buns,2014,5,20,1
3708,yogurt,2014,10,27,0
2394,sausage,2014,10,18,5
2366,herbs,2014,7,10,3
3603,whole milk,2014,4,11,4
1049,specialty bar,2014,7,1,1
4086,tropical fruit,2014,10,17,4
3577,sugar,2014,7,2,2
